"","event_time","att","se","ci_lower","ci_upper"
"1",-13,-0.9875,1.29496037522599,-3.52562233544294,1.55062233544293
"2",-12,1.05,0.806164956312422,-0.530083314372346,2.63008331437235
"3",-11,0.0166666666666662,0.68518873362186,-1.32630325123218,1.35963658456551
"4",-10,-1.4375,1.64360355317144,-4.65896296421603,1.78396296421603
"5",-9,-0.0362499999999999,1.27506107357448,-2.53536970420598,2.46286970420598
"6",-8,-0.0333333333333335,0.83344895547242,-1.66689328605928,1.60022661939261
"7",-7,-0.304375,0.764107701192157,-1.80202609433663,1.19327609433663
"8",-6,1.064375,0.767895286547245,-0.4406997616326,2.5694497616326
"9",-5,0.2625,0.350033117525307,-0.423564910349601,0.948564910349601
"10",-4,-0.13,0.817655123505839,-1.73260404207144,1.47260404207144
"11",-3,1.1925,0.621302992192504,-0.0252538646973073,2.41025386469731
"12",-2,1.098125,0.471710744911255,0.173571939973939,2.02267806002606
"13",-1,0.72,0.574879010225546,-0.406762860042071,1.84676286004207
"14",0,2.31375,1.12427579482053,0.110169442151764,4.51733055784824
"15",1,5.155,1.01632382078559,3.16300531126024,7.14699468873976
"16",2,7.30375,1.32912972323061,4.69865574246801,9.90884425753199
"17",3,9.959375,1.98790316992987,6.06308478693745,13.8556652130625
"18",4,11.296875,2.35305188038604,6.68489331444337,15.9088566855566
"19",5,14.1821428571429,3.45905847956572,7.40238823719405,20.9618974770917
"20",6,15.525,3.77523033660098,8.12554854026207,22.9244514597379
"21",7,18.235,4.26507593208599,9.87545117311146,26.5945488268885
"22",8,20.84375,3.17022052503894,14.6301177709237,27.0573822290763
