event,coefficient1,lb1,ub1,coefficient2,lb2,ub2
-5,-0.727176338912034,-2.58195254981307,-0.0987621597136844,1.35229693411011,-3.07667878021551,3.40084573564972
-4,-0.235706904422313,-2.91393587668488,2.44301507079602,-0.0930988110677222,-3.05802532183982,3.88836766594048
-3,2.04578615994803,-0.784209061619292,2.8632443491431,-0.0393181497281999,-3.64425162112204,1.71459202099288
-2,0.717050086232761,-3.04927872067854,2.2776989168572,0.547519229574879,-2.87315737123437,3.72544823597643
-1,-2.05421760426975,-3.54840460746385,1.28944570894351,0.673834659075003,-2.21948240044429,4.07187726813925
0,4.63220493494208,0.371972837735381,5.67608652690524,5.22501555932591,-1.0876250214581,11.4070675335617
1,5.51704001253125,0.619085182732814,7.02435232235532,5.24938739338068,-1.9794855262737,9.63107952173736
2,6.52001155165615,1.11292242667427,8.20522820753662,1.43681664590319,-2.93977436645396,8.40960512712405
3,1.89314548737521,-5.76797862280325,6.1872974046001,3.74221558039667,-3.18776716149421,10.6759445465566
4,2.32810148477719,-3.38255891567996,6.03351676715805,3.43763841583272,-6.95531163053583,11.082561399289
5,5.33546101690544,-2.68963607887751,8.54873371257236,3.4493819324276,-6.763926123001,10.5654368394851
