event,coefficient1,lb1,ub1,coefficient2,lb2,ub2
-20,0.684392873171569,-2.39736438810874,1.011894025617,-0.0950467605083855,-3.33177098158156,1.8094343231542
-19,1.09575233227863,-0.754559150178914,1.66301110418395,-0.421973449112823,-3.32591076514937,2.2359209251205
-18,-0.837672602832763,-2.65731818916244,0.318832431155936,-0.535833490944785,-1.90717891466469,1.36048331826472
-17,0.975282215084003,-1.62842379301771,2.15173328705554,0.979419993948486,-0.420053451760778,1.90622234923768
-16,1.5367604961854,-0.897429851612847,3.1369293379149,0.539642018335221,-1.44522705625402,1.86431210248566
-15,-0.315893497686659,-0.974946110616779,1.74898630937516,0.372305903215142,-1.74189109999162,4.27734137895205
-14,2.07383448068794,-2.78055174658075,1.89664012921184,2.15819253407994,0.0656715963340231,5.7743032131572
-13,0.520628133240405,-1.98228016361016,1.41028215593042,2.25133056191461,0.0493720718693116,6.33933177023342
-12,1.97405541522665,-0.533834101462539,4.36131801395341,1.76741832044051,-0.23945054570135,5.38103739316933
-11,-0.646394286899421,-0.199272910885332,2.30493841221075,-0.427921920216255,-4.19538335745895,4.31779740942291
-10,-2.2171850308648,-2.04952436477194,1.37603487448045,-0.411171873227334,-2.78816277821671,4.13909636240769
-9,-2.08982450116477,-1.9337162766303,0.320846055791722,-0.030100956452206,-4.04651190071346,4.50108399718458
-8,-1.7893242126917,-1.61304729231233,2.06010242524744,0.108483867438617,-4.66300003995379,5.31705098889146
-7,0.33753099182131,-0.602312360482094,2.07211064813726,0.770957752798625,-3.50437420409558,5.01273996220667
-6,0.63779295452544,-0.114714106312066,2.18035525226823,1.15860180549848,-3.94494435488996,7.42984692829383
-5,-1.42533784139818,-1.81079931563001,2.18643454995321,1.39429192722379,-4.48676635815792,7.35656823641552
-4,-0.465388414739526,-0.0905658196084425,3.01726665268944,0.198141223706549,-3.8427562195208,5.99948312803933
-3,-0.963558020620112,-0.181836441092446,3.10312495062005,0.0359516118394269,-3.4237346052177,6.68650781209018
-2,-2.06873063140508,-5.36486059214449,5.32686969412708,0.0501702667307933,-2.46315021949924,4.7875610701352
-1,-1.32678067045162,-5.43734473765179,8.24617264710829,0.507258450717313,-1.98683372549144,6.64701228078775
0,-5.62870301315755,-9.6846574898533,5.88572302070269,-0.777754550379041,-3.84333802133773,7.19587076013801
1,-3.45944664129525,-9.2151276528659,4.45839899095515,-1.02788614142074,-4.52294169883041,6.80273797932423
2,-2.39518552459996,-9.74401942843345,4.21360585178177,-1.00655495065716,-3.05921944135802,5.36320089232858
3,-1.57679144846118,-10.0505114338284,7.38275686933977,0.251103296933652,-2.22935208132877,5.45784246721543
4,-3.89302407636207,-10.8240692941775,4.49317559853981,-1.30570505944787,-3.90246369272351,4.84092143843615
5,-1.80117567416114,-10.4252724276345,8.01885699552201,-1.56280900981751,-2.76755452418387,6.05473472853251
6,0.945904638261141,-10.1184220857903,6.56624981643701,-0.0260978115485597,-1.86699724654386,4.61163944081468
7,-0.253141539656374,-10.7731899283658,8.24690726024918,1.19335619812944,-2.24563656931017,4.596086485144
8,-1.82624016082431,-9.1882448568125,4.64540938824478,-0.30254344247476,-2.20964173494629,2.99078980130651
9,0.668078907826709,-6.18293771567135,6.3204599544264,-0.918167328949409,-2.76375162629917,2.88040096228792
10,0.173843439957018,-8.14980711318013,8.67788804841513,0.881937418000749,-1.26919098936215,4.51419992093894
11,6.05031064039318,-4.32333520369111,12.0982609738152,0.0731376814559709,-3.04304859614295,3.43197857171917
12,2.35574637554169,-5.73872842654313,8.23755078533359,-0.170858782169353,-3.23177649875296,3.12406145542854
13,-0.145958402872846,-7.92585802962553,7.47832200042029,-1.29308962139157,-2.92526952805055,5.76197210379339
14,2.32004139280324,-6.17457610279117,7.70419039775245,-0.426341409674576,-1.69376037735591,2.14211570139337
15,1.37392998533263,-6.1635023997368,7.71783741080189,0.735130450636417,-1.20564564192528,3.50683370739096
16,2.55646671667598,-6.09449617714189,5.88966387067174,2.25809684183435,-0.256760624209111,3.8044118140996
17,3.72316737783671,-6.5992179417762,10.5496174510988,0.44415464587376,-2.06773587366423,2.17452915010007
18,1.73721238854626,-8.26886967587297,8.85965067628637,0.78206341061127,-1.09095953487696,2.71517478760959
19,4.60831720182254,-3.41221437689583,6.00014614328079,2.48111687119807,0.15518941749151,3.94458075873733
20,6.73338130221939,-0.845541741262451,7.43203797292354,2.61308854719489,-1.42493803928327,4.13640229725612
