event,coefficient1,lb1,ub1,coefficient2,lb2,ub2
-20,0.503095496402569,-1.41609108046404,1.37261463110293,0.749897649957918,-0.645176245205596,0.690045691764946
-19,-0.555855125899253,-1.03552802209653,1.46724956188567,0.125740283988692,-0.214293838096683,1.26202263641913
-18,-1.09288034307025,-2.04985883218729,0.620359566034585,-0.0544975900680186,-0.881428637128997,0.60075355014378
-17,-0.327485289937662,-1.10792603661695,1.75693729957193,-0.958572376996983,-1.19087858458576,0.62310347327102
-16,-0.748301387440746,-1.37726278281682,0.822079391422527,0.446422291040931,-0.889893871457343,0.5299053922904
-15,0.13586698233032,-0.205618096349223,3.37197167621946,1.64748234054171,-0.146824154064134,3.93461096293923
-14,-0.0662823588073441,-0.586292308694567,2.52755885330362,1.8045138713406,0.390062908572268,4.04531435017741
-13,0.485445512402208,0.191713510314919,2.90831961919865,1.94666423125555,0.268195402998223,4.00425410366322
-12,0.229183743986291,-1.20050555533463,1.4075153215827,2.54568894646976,0.603366125450066,4.04485169223175
-11,-0.185408944672131,-1.10144821873269,1.57349687585048,1.28514596102408,-0.500659227180401,3.43137699349624
-10,-0.142691702109669,-0.72576101127134,1.8679295844492,1.79767781156525,-0.197005058918453,3.22092985239589
-9,0.972697606180935,0.50756920485533,3.07559106568274,1.85673421519209,-0.229738496448995,3.72221596671615
-8,0.248351902696514,-1.30369218676844,1.46391679187438,0.0872698037378854,-2.86364572700923,2.6208002258621
-7,-0.106009054824173,-2.65109667900128,1.78866681081781,0.911644760986895,-1.75316680368002,4.99788974094506
-6,-0.999571207357562,-3.53087418360834,0.749535287458997,1.31918703689946,-1.97389151790538,5.07258588772416
-5,-0.106988518337971,-1.6484654141585,0.941478753295137,1.13976219398104,-1.44918511983331,5.85550275949399
-4,0.49126058442078,-1.09875576599103,2.41797369959355,1.60561454364743,-1.29777349034162,5.87881167763016
-3,-0.437816059738595,-1.35770324392936,2.240361237918,2.28392763340261,-1.70286983994035,5.70684753473663
-2,0.402471694236239,-1.21971685880625,6.74819406696289,1.98411405932461,-1.94107677379014,5.85628476185163
-1,0.573576809579707,-2.28186609840052,7.08245270460933,2.08047232550603,-0.925093315171778,6.71961434070398
0,0.643290769190403,-2.95714106894332,6.84937707131572,2.33382092631962,-1.0506200980216,7.2394597064244
1,1.44432506648058,-0.574583916865301,8.30684716316486,1.41447710505442,-1.18951447822892,5.75583156315547
2,-0.622958646470607,-5.08095568246476,6.53736775850737,2.29508396838101,-0.7565687133944,7.12534690201605
3,2.73779740781654,-0.670821061708217,8.06136923792695,3.18663547110634,-0.44668364497918,7.8277490353645
4,2.70550595256399,-0.468961294869244,6.7745291816574,2.07532604889682,-0.716624794043697,7.108882478537
5,2.62845077266912,-0.294487356864316,6.93120765616379,2.40716929812394,-0.938011879231796,6.9180741513425
6,2.64004808776733,-0.324831107741111,6.8974413365372,-0.108468473025039,-1.70626484647362,6.80212993568904
7,2.07714205412061,-1.83516611710635,6.90261603286761,1.10646587814948,-1.42767252552517,8.54605300339883
8,2.20313474092336,0.276796273845522,6.24372994597315,0.285176007037785,-2.21235531244136,8.49188029166771
9,2.16680645563787,-0.564431303561272,6.65689594949614,-0.0638785651261939,-1.80166692251224,8.74585696493716
10,2.54554934556695,0.829564132927442,7.95742382046121,0.722096406814908,-1.00062158953806,9.30839397274272
11,1.61110453940041,-0.959497111460348,7.31180303813007,0.890157464533364,-0.968634950135015,9.03457756604157
12,2.54586247528055,0.722421030325505,7.96750517891374,0.844236459601177,-1.44134391463856,9.0727160394248
13,2.77253453810642,0.318374783218755,8.19919488218255,2.10516667049892,0.681392542591149,7.76780436189567
14,4.29615111861958,1.74044680885527,9.64656168875919,1.40966548827501,0.339427049169027,5.41127728590415
15,3.73645435041392,0.678725731835463,9.36282208833599,1.02958856294305,-0.656762899595591,4.11719458837492
16,1.53094265358541,-1.13999711016192,8.39154594419831,-0.101443315824699,-2.05446883312008,4.28614048707638
17,3.51608490267792,0.865351691686258,9.40835176105303,0.205402433379128,-0.647613747145432,4.46554918766168
18,4.41183056381412,1.17234439469026,10.2094193086695,0.810686267813563,0.157941676966099,5.792363223342
19,6.68166864611891,1.86803480873318,14.4164407234441,-0.0852808835519683,-1.1747539561925,3.25566770181013
20,6.05067232002375,-0.237316372189196,13.3957256442809,-0.360252635394811,-1.91388952416038,3.27520838202294
